mol,smiles
mol198,S(C1=CC=CC=C1)(=O)(=O)N(CC(=O)N/N=C(\C)/C1C=CC(=CC=1)I)C1C=CC(=CC=1C)C
mol199,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)Cl)CC(=O)N/N=C(\C)/C1C=CC(=CC=1)I
mol200,C(=O)(C1C=CC=C(Cl)C=1)N1CCN(CC1)C1=CC=CC(Cl)=C1
mol201,C(OC1=CC=CC(=C1)C(=O)NC1=CC=C(C=C1)OCC)(=S)NC1=CC=C(C=C1)Br
mol202,N12C(=O)CSC1=NC(C)=C(C(=O)OC(C)C)C2C1C=CC(=CC=1)OC
mol203,C1(C2C=CC(=CC=2)C)(C2=CC=C(C=C2)C)CC1C(=O)NC1=CC=C(C=C1)Br
mol204,C1(=CC2C=CC=C(OC)C=2OC1=O)C1=CN2C(C(C)=CC=C2)=N1
mol205,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)Cl)CC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1=CC=C(C=C1)Cl
mol206,C(=S)(NC1C=CC=C(C)N=1)NC(=O)C1=CC=CC(OC)=C1
mol207,C1(C2C=CC(=CC=2)C)(C2=CC=C(C=C2)C)CC1C(=O)NC1=CC=CC(C)=C1
mol208,C12SC3=C(CCCC3)C=1C(NC(C1=CC(OC)=C(C(OC)=C1)O)=N2)=O
mol209,N1(C2C=CC(=CC=2)Br)C(=O)C2=C(C=C3C(C=CC=C3)=C2)C1=O
mol210,N(NC(CNC1=CC=C(C=C1)OC)=O)=C(C)C1=CC=CC=C1O
mol211,C(=O)(NC1C=CC(=C(C)C=1)C)C1=CC=CO1
mol212,N(=O)(=O)C1=CC=C(C=C1)C(=O)NC1C=CC(=CC=1)C(C)CC
mol213,C(=O)(N/N=C(\C)/CC(=O)NC1C=CC(=CC=1)OCC)C(NCCOC)=O
mol214,C1(C=CC(=CC=1Br)C)OC(COC1=CC=C(C=C1)Cl)=O
mol215,C(CC1=CC=C(C=C1)Br)(=O)NCC(CCCC)CC
mol216,C(CC1=CC=CC=C1)(=O)NCC1=CC=CO1
mol217,N12C3=CC=CC=C3N=C1SC(=CC1C=CC=CC=1OCCOC1C=C(CC)C=C(C)C=1)C2=O
mol218,C(=O)(NNC(=O)C1C=CC=C(I)C=1)C(F)(F)F
mol219,N1(C2C=CC(=CC=2)C(OC)=O)C(=O)C2=C(C=C3C(C=CC=C3)=C2)C1=O
